date,time,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_72h,river_level,river_level_lag1,river_level_lag3,river_level_lag6,river_level_lag12,river_discharge,temperature,humidity,pressure,wind_speed,elevation,distance_from_river,historical_flood_count,population,flood_probability,flood_risk,rf_flood_probability,xgb_flood_probability,predicted_risk,risk_score,population_score,elevation_score,river_proximity_score,priority_score,location_id
2020-07-15,12:00:00,16.4,80.96,31.42,85.08,192.68,372.27,713.12,1466.7,13.8,13.8,13.455,12.957,13.8,276350.31,27.47,92.0,1003.91,8.47,11.9,1.6,13,22100,0.9498177230358124,VERY_HIGH,0.95,0.94963545,VERY_HIGH,0.9999806900229197,1.0,1.0,0.9199999999999999,0.987991310510314,L001
2020-07-08,00:00:00,16.4,80.96,25.57,77.69,147.23,213.29,398.92,1077.74,13.8,12.441,13.794,13.083,13.8,164458.14,27.18,83.01,1007.64,9.6,11.9,1.6,10,22100,0.9498023152351379,VERY_HIGH,0.95,0.94960463,VERY_HIGH,0.9999635660809806,1.0,1.0,0.9199999999999999,0.9879836047364413,L002
2020-07-28,00:00:00,16.4,80.96,15.98,43.18,71.8,145.02,310.38,941.63,13.8,13.8,13.8,13.8,13.8,134973.95,27.8,90.37,1003.53,11.99,11.9,1.6,17,22100,0.9497999608516693,VERY_HIGH,0.95,0.9495999,VERY_HIGH,0.9999609494631599,1.0,1.0,0.9199999999999999,0.987982427258422,L003
2020-08-22,00:00:00,16.4,80.96,20.13,51.61,90.79,160.33,278.21,878.88,13.8,13.8,12.856,13.692,13.8,124008.35,26.91,89.21,1001.74,13.34,11.9,1.6,12,22100,0.9497998118400574,VERY_HIGH,0.95,0.9495996,VERY_HIGH,0.9999607838544372,1.0,1.0,0.9199999999999999,0.9879823527344969,L004
2020-06-05,12:00:00,16.4,80.96,24.75,48.75,85.68,167.33,309.24,782.02,13.8,12.38,12.708,13.516,13.512,132058.96,28.47,86.77,1004.31,11.34,11.9,1.6,12,22100,0.9497957289218902,VERY_HIGH,0.95,0.94959146,VERY_HIGH,0.999956246175432,1.0,1.0,0.9199999999999999,0.9879803107789444,L005
2020-08-02,00:00:00,16.4,80.96,14.4,43.48,97.14,186.27,332.14,821.75,13.8,13.8,13.8,12.959,13.635,141158.48,25.23,82.65,1004.79,10.48,11.9,1.6,8,22100,0.9497937321662903,VERY_HIGH,0.95,0.94958746,VERY_HIGH,0.9999540270185464,1.0,1.0,0.9199999999999999,0.987979312158346,L006
2020-08-17,00:00:00,16.4,80.96,41.79,74.18,134.1,242.97,337.65,701.82,13.8,12.78,13.484,13.8,12.669,140846.11,25.23,89.79,1000.28,10.25,11.9,1.6,13,22100,0.9497800230979919,VERY_HIGH,0.95,0.94956005,VERY_HIGH,0.9999387910160472,1.0,1.0,0.9199999999999999,0.9879724559572213,L007
2020-08-29,12:00:00,16.4,80.96,12.06,32.76,66.2,128.14,237.46,788.4,13.8,13.8,13.032,12.513,11.85,106409.9,24.23,84.75,1009.3,12.81,11.9,1.6,11,22100,0.9497784733772278,VERY_HIGH,0.95,0.94955695,VERY_HIGH,0.99993706868533,1.0,1.0,0.9199999999999999,0.9879716809083985,L008
2020-06-30,12:00:00,16.4,80.96,13.28,29.8,60.3,103.82,196.49,606.3,13.8,13.704,13.8,13.8,13.8,92290.18,27.7,84.76,1000.21,10.8,11.9,1.6,13,22100,0.9497778177261352,VERY_HIGH,0.95,0.94955564,VERY_HIGH,0.9999363400069495,1.0,1.0,0.9199999999999999,0.9879713530031273,L009
2020-09-01,00:00:00,16.4,80.96,30.25,79.35,158.62,263.84,399.17,1163.23,13.8,13.279,13.8,13.788,12.476,165472.87,30.21,95.18,1003.43,10.06,11.9,1.6,10,22100,0.9497701585292816,VERY_HIGH,0.95,0.9495403,VERY_HIGH,0.9999278277185969,1.0,1.0,0.9199999999999999,0.9879675224733686,L010
2020-08-04,12:00:00,16.4,80.96,45.12,107.72,184.22,274.33,380.69,1045.34,13.8,13.8,12.342,13.473,13.8,157356.4,25.9,74.44,1004.0,8.82,11.9,1.6,13,22100,0.949754273891449,VERY_HIGH,0.95,0.94950855,VERY_HIGH,0.9999101738287447,1.0,1.0,0.9199999999999999,0.9879595782229351,L011
2020-07-30,12:00:00,16.4,80.96,20.3,38.08,74.42,109.25,196.43,644.95,13.544,12.598,13.8,13.8,13.8,94176.46,25.05,86.51,1008.68,7.93,11.9,1.6,12,22100,0.9497495949268341,VERY_HIGH,0.95,0.9494992,VERY_HIGH,0.9999049737148483,1.0,1.0,0.9199999999999999,0.9879572381716818,L012
2020-09-26,00:00:00,16.4,80.96,20.3,64.36,97.18,173.7,257.87,546.59,13.8,12.81,13.187,12.621,12.459,115894.6,28.57,87.54,1004.43,10.14,11.9,1.6,10,22100,0.9497408926486969,VERY_HIGH,0.95,0.9494818,VERY_HIGH,0.9998953021654359,1.0,1.0,0.9199999999999999,0.9879528859744462,L013
2020-07-23,00:00:00,16.4,80.96,30.43,92.7,176.49,341.22,502.47,1490.69,13.8,13.8,12.481,13.8,12.163,202073.74,28.49,78.51,1007.88,10.04,11.9,1.6,15,22100,0.9497394919395447,VERY_HIGH,0.95,0.949479,VERY_HIGH,0.9998937454434415,1.0,1.0,0.9199999999999999,0.9879521854495488,L014
2020-08-14,12:00:00,16.4,80.96,14.76,44.96,93.04,159.49,278.07,654.43,13.494,12.137,12.133,13.8,12.318,122146.38,23.37,79.11,1005.46,10.21,11.9,1.6,12,22100,0.9497021198272705,VERY_HIGH,0.95,0.94940424,VERY_HIGH,0.9998522107757594,1.0,1.0,0.9199999999999999,0.9879334948490918,L015
2020-06-25,12:00:00,16.4,80.96,17.89,54.38,105.33,200.06,288.01,870.69,13.429,11.684,13.031,13.8,13.061,123261.11,27.77,95.68,1011.4,8.56,11.9,1.6,15,22100,0.9496931791305542,VERY_HIGH,0.95,0.94938636,VERY_HIGH,0.9998422742523904,1.0,1.0,0.9199999999999999,0.9879290234135757,L016
